Probe_name	Gene_Name	Gene_desc	Tumor_1_ERPos_expr	Tumor_2_ERNeg_expr
M11313_S_AT	A2M	alpha-2-macroglobulin	2220	1568
L32179_AT	AADAC	arylacetamide deacetylase (esterase)	-60	57
M95627_AT	AAMP	"angio-associated, migratory cell protein"	1283	2936
U40391_RNA1_AT	AANAT	arylalkylamine N-acetyltransferase	1194	1014
D32050_AT	AARS	alanyl-tRNA synthetase	1280	3723
L32961_AT	ABAT	4-aminobutyrate aminotransferase	97	123
S75578_S_AT	ABAT	4-aminobutyrate aminotransferase	251	91
U80226_S_AT	ABAT	4-aminobutyrate aminotransferase	351	225
U18235_AT	ABCA2	"ATP-binding cassette, sub-family A (ABC1), member 2"	42	69
U78735_AT	ABCA3	"ATP-binding cassette, sub-family A (ABC1), member 3"	825	209
U88667_AT	ABCA4	"ATP-binding cassette, sub-family A (ABC1), member 4"	138	11
M14758_AT	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	63	12
X58723_AT	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	75	75
U18237_AT	ABCB10	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	-14	-71
M23234_S_AT	ABCB4	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	-9	-90
AC002486_AT	ABCB5	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	75	98
L05628_S_AT	ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	-111	81
X78338_AT	ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	180	471
U49248_AT	ABCC2	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	181	96
X95715_AT	ABCC6	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"	-14	149
U63455_AT	ABCC8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	-124	227
U52111_RNA3_AT	ABCD1	"ATP-binding cassette, sub-family D (ALD), member 1"	-349	-216
U28150_AT	ABCD2	"ATP-binding cassette, sub-family D (ALD), member 2"	6	-153
M81182_S_AT	ABCD3	"ATP-binding cassette, sub-family D (ALD), member 3"	1133	1349
X58528_S_AT	ABCD3	"ATP-binding cassette, sub-family D (ALD), member 3"	2918	896
X74987_S_AT	ABCE1	"ATP-binding cassette, sub-family E (OABP), member 1"	12	54
X91249_AT	ABCG1	"ATP-binding cassette, sub-family G (WHITE), member 1"	259	-13
X12433_AT	ABHD2	abhydrolase domain containing 2	185	228
U23435_S_AT	ABI2	abl interactor 2	225	225
X95632_S_AT	ABI2	abl interactor 2	451	370
X95677_AT	ABI2	abl interactor 2	192	-113
X16416_AT	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	1161	280
M35296_AT	ABL2	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	478	50
D31883_AT	ABLIM1	actin binding LIM protein 1	1452	275
U15197_AT	ABO	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	144	17
X84746_AT	ABO	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	172	-132
U11862_S_AT	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	-129	-425
U11863_AT	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	-168	-1019
U01147_AT	ABR	active BCR-related gene	744	59
X14813_AT	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	62	691
D16294_AT	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	304	130
M74096_AT	ACADL	"acyl-Coenzyme A dehydrogenase, long chain"	67	144
M91432_AT	ACADM	"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	413	843
Z80345_RNA1_S_AT	ACADS	"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	270	393
U12778_AT	ACADSB	"acyl-Coenzyme A dehydrogenase, short/branched chain"	22	77
D43682_S_AT	ACADVL	"acyl-Coenzyme A dehydrogenase, very long chain"	2801	2433
M55172_AT	ACAN	aggrecan	-164	-455
D10511_AT	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	352	322
U57352_AT	ACCN1	"amiloride-sensitive cation channel 1, neuronal (degenerin)"	-172	39
U78180_AT	ACCN2	"amiloride-sensitive cation channel 2, neuronal"	17	58
M26657_S_AT	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	-981	-522
M55040_AT	ACHE	acetylcholinesterase (Yt blood group)	424	223
S71129_AT	ACHE	acetylcholinesterase (Yt blood group)	29	-280
X64330_AT	ACLY	ATP citrate lyase	1584	1201
Z11559_AT	ACO1	"aconitase 1, soluble"	271	576
U80040_AT	ACO2	"aconitase 2, mitochondrial"	1082	962
L40401_AT	ACOT1 /// ACOT2	acyl-CoA thioesterase 2 /// acyl-CoA thioesterase 1	859	719
U91316_AT	ACOT7	acyl-CoA thioesterase 7	109	187
S69189_AT	ACOX1	"acyl-Coenzyme A oxidase 1, palmitoyl"	41	197
X95190_AT	ACOX2	"acyl-Coenzyme A oxidase 2, branched chain"	-664	-415
U25849_AT	ACP1	"acid phosphatase 1, soluble"	1482	260
X15525_RNA1_AT	ACP2	"acid phosphatase 2, lysosomal"	529	392
J04430_S_AT	ACP5	"acid phosphatase 5, tartrate resistant"	413	1076
M24902_AT	ACPP	"acid phosphatase, prostate"	230	64
Y00970_AT	ACR	acrosin	173	15
S65583_RNA1_AT	ACRV1	acrosomal vesicle protein 1	409	581
D10040_AT	ACSL1	acyl-CoA synthetase long-chain family member 1	313	720
L09229_S_AT	ACSL1	acyl-CoA synthetase long-chain family member 1	631	580
D16350_AT	ACSM3	acyl-CoA synthetase medium-chain family member 3	43	258
X80062_AT	ACSM3	acyl-CoA synthetase medium-chain family member 3	86	6
M20543_AT	ACTA1	"actin, alpha 1, skeletal muscle"	-10	594
X13839_AT	ACTA2	"actin, alpha 2, smooth muscle, aorta"	4501	9821
AFFX-HSAC07/X00351_3_AT	ACTB	"actin, beta"	20931	52046
AFFX-HSAC07/X00351_3_ST	ACTB	"actin, beta"	3172	856
AFFX-HSAC07/X00351_5_AT	ACTB	"actin, beta"	11053	7707
AFFX-HSAC07/X00351_5_ST	ACTB	"actin, beta"	-280	10
AFFX-HSAC07/X00351_M_AT	ACTB	"actin, beta"	16222	14021
AFFX-HSAC07/X00351_M_ST	ACTB	"actin, beta"	295	704
M10277_S_AT	ACTB	"actin, beta"	20704	49578
X00351_F_AT	ACTB	"actin, beta"	11466	13864
J00073_AT	ACTC1	"actin, alpha, cardiac muscle 1"	510	720
M19283_AT	ACTG1	"actin, gamma 1"	14815	13031
D00654_AT	ACTG2	"actin, gamma 2, smooth muscle, enteric"	239	3903
U20582_AT	ACTL8	actin-like 8	371	216
M95178_AT	ACTN1	"actinin, alpha 1"	1582	1050
M86406_AT	ACTN2	"actinin, alpha 2"	93	-222
M86407_AT	ACTN3	"actinin, alpha 3"	-217	-178
X82206_S_AT	ACTR1A	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	455	336
Z14978_AT	ACTR1A	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	-217	-318
X82207_AT	ACTR1B	"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"	331	572
Z22534_AT	ACVR1	"activin A receptor, type I"	-36	171
Z22536_AT	ACVR1B	"activin A receptor, type IB"	32	552
M93415_AT	ACVR2A	"activin A receptor, type IIA"	167	285
X77533_AT	ACVR2B	"activin A receptor, type IIB"	-177	-209
L17075_S_AT	ACVRL1	activin A receptor type II-like 1	-53	207
L07548_AT	ACY1	aminoacylase 1	1241	365
X84194_AT	ACYP1	"acylphosphatase 1, erythrocyte (common) type"	220	209
X84195_AT	ACYP2	"acylphosphatase 2, muscle type"	115	-6
M13792_AT	ADA	adenosine deaminase	397	468
Z48579_AT	ADAM10	ADAM metallopeptidase domain 10	-9	151
D17390_AT	ADAM11	ADAM metallopeptidase domain 11	-426	-841
U41767_S_AT	ADAM15	ADAM metallopeptidase domain 15 (metargidin)	1944	760
U69611_AT	ADAM17	"ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)"	196	38
U86755_S_AT	ADAM17	"ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)"	12	-101
