Gene.Chr	MCF7	BT474	ZR751	T47D	MDAMB468	MDAMB231	BT20
7A5.7	1895	2281	5853	1491	5718	2	1067
A1BG.19	259	30	323	298	134	110	93
A1CF.10	0	0	1	3	2	6	0
A26A1.8	0	0	0	0	0	0	0
A26B1.15	0	0	0	0	0	1	0
A26B3.21	0	0	0	0	0	0	0
A26C1A.2	3	26	0	1	5	0	51
A26C1B.2	9	118	11	3	21	1	81
A26C2.14	6	5	5	0	1	0	6
A26C3.22	22	12	3	0	4	2	15
A2BP1.16	0	1	5	0	0	1	0
A2M.12	12	3	43	0	2574	1	0
A2ML1.12	24	117	49	8	46	0	444
A3GALT2.1	0	2	1	0	2	0	2
A4GALT.22	1529	28	559	533	179	930	78
A4GNT.3	1	1	0	3	2	7	1
AAAS.12	2866	1772	1237	3360	1441	1239	1599
AACS.12	4331	1818	2481	2950	2876	1697	3786
AADAC.3	0	0	15	2	0	0	0
AADACL1.3	632	1117	781	2072	2626	5174	4421
AADACL2.3	0	0	2	0	0	0	0
AADACL3.1	0	3	13	0	8	0	0
AADACL4.1	1	4	2	0	0	0	1
AADAT.4	207	169	580	4	196	158	0
AAK1.2	1575	1340	1555	1278	7272	3536	11744
AAMP.2	7922	5634	4611	3796	5056	4641	6703
AANAT.17	8	9	13	11	10	10	1
AARS.16	14479	28452	17948	18317	13360	12919	24992
AARS2.6	940	1207	669	1040	921	754	2713
AARSD1.17	431	704	680	1312	885	1192	583
AASDH.4	485	630	545	799	537	456	523
AASDHPPT.11	1057	2351	1670	2273	3528	1749	2370
AASS.7	109	209	58	183	0	1224	163
AATF.17	1888	5934	2790	3272	3147	6851	5777
AATK.17	70	30	120	131	152	22	83
ABAT.16	7928	3612	6279	4212	252	15	2593
ABBA-1.16	12961	8175	13395	4517	3967	5550	33110
ABCA1.9	378	54	1527	109	59	3529	627
ABCA10.17	48	7	7	1	1	11	0
ABCA12.2	4494	3457	19586	3681	2059	1	2718
ABCA13.7	38	8	7	13	7	2	2
ABCA2.9	24141	2764	5777	21309	3697	4719	9712
ABCA3.16	8147	2306	9899	9136	1856	862	661
ABCA4.1	47	792	283	44	371	2	494
ABCA5.17	2262	222	460	1034	404	335	222
ABCA6.17	8	5	6	0	0	4	0
ABCA7.19	1099	1456	898	1612	1502	711	2829
ABCA8.17	3	0	2	0	1	0	0
ABCA9.17	4	7	6	0	3	0	0
ABCB1.7	2	4	17	2	137	0	4
ABCB10.1	711	594	2486	748	2380	942	1150
ABCB11.2	3	9	1	0	0	0	15
ABCB4.7	20	7	30	22	6	1	0
ABCB5.7	0	1	0	0	0	0	0
ABCB6.2	1972	1767	2075	1542	1686	850	3037
ABCB7.x	723	1029	779	817	1843	1100	777
ABCB8.7	2037	2281	977	1636	1267	1197	2694
ABCB9.12	951	748	1261	839	468	785	1039
ABCC1.16	7386	1965	3522	2656	2174	5675	2501
ABCC10.6	2152	1805	719	1040	2169	693	1836
ABCC11.16	13	3662	4833	17468	13	0	11
ABCC12.16	0	265	182	1513	1	0	0
ABCC2.10	150	1804	1970	46	124	56	2417
ABCC3.17	3630	9872	1019	734	3730	4210	11350
ABCC4.13	259	350	141	2	1870	2054	0
ABCC5.3	4699	8774	1816	4106	2208	906	4699
ABCC6.16	20	22	429	1001	8	72	12
ABCC8.11	409	209	30	20	0	0	3
ABCC9.12	15	4	3	8	0	0	1
ABCD1.x	2519	672	2566	584	1873	940	5760
ABCD2.12	1	2	0	0	1	1	1
