Amino_Acid_Names 	 Positive_AA_Disordered_% 	 Negative_AA_Disordered_% 	 Length_Disordered 	 Positive_AA_Seq_% 	 Negative_AA_Seq_% 
H2PJ71_PONAB(H2PJ71)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
A9CPG1_ALLMI(A9CPG1)	27.058823529411764	38.82352941176471	85	3.155006858710562	4.526748971193416
C4XYH4_CLAL4(C4XYH4)	23.28767123287671	35.61643835616438	73	2.2911051212938007	3.5040431266846364
H0GL96_9SACH(H0GL96)	25.97402597402597	35.064935064935064	77	2.8328611898017	3.824362606232295
Q8TBA7_HUMAN(Q8TBA7)	27.27272727272727	39.77272727272727	88	3.755868544600939	5.477308294209703
G1KQE0_ANOCA(G1KQE0)	24.705882352941178	35.294117647058826	85	3.6020583190394513	5.145797598627787
G8ZN18_TORDC(G8ZN18)	25.31645569620253	37.9746835443038	79	2.824858757062147	4.23728813559322
Q17UC2_HALTU(Q17UC2)	29.069767441860467	43.02325581395349	86	3.4293552812071333	5.075445816186557
G0VEH7_NAUCC(G0VEH7)	23.376623376623375	33.76623376623377	77	2.538787023977433	3.6671368124118473
Q3UIF3_MOUSE(Q3UIF3)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
B4DMA2_HUMAN(B4DMA2)	25.882352941176475	37.64705882352941	85	3.2023289665211063	4.657933042212519
D2J288_9BILA(D2J288)	29.268292682926827	42.68292682926829	82	3.3012379642365883	4.814305364511692
G2WKP1_YEASK(G2WKP1)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
G8HT68_9DIPT(G8HT68)	23.809523809523807	34.523809523809526	84	2.7777777777777777	4.027777777777778
C1K657_9HYME(C1K657)	27.160493827160494	38.2716049382716	81	3.072625698324022	4.329608938547486
HS90B_PONAB(Q5R710)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
G0WFW1_NAUDC(G0WFW1)	25.882352941176475	38.82352941176471	85	3.064066852367688	4.596100278551532
G3SGL9_GORGO(G3SGL9)	29.166666666666668	20.833333333333336	48	2.341137123745819	1.6722408026755853
G3SGL9_GORGO(G3SGL9)	29.166666666666668	20.833333333333336	48	2.341137123745819	1.6722408026755853
G3SGL9_GORGO(G3SGL9)	29.166666666666668	20.833333333333336	48	2.341137123745819	1.6722408026755853
C4QXI5_PICPG(C4QXI5)	24.358974358974358	38.46153846153847	78	2.6874115983026874	4.243281471004243
G1NKX1_MELGA(G1NKX1)	28.235294117647058	40.0	85	3.292181069958848	4.663923182441701
D3TS03_GLOMM(D3TS03)	25.0	36.904761904761905	84	2.928870292887029	4.323570432357044
H9G3B6_ANOCA(H9G3B6)	27.058823529411764	40.0	85	3.490136570561457	5.159332321699544
F1NDI7_CHICK(F1NDI7)	25.581395348837212	37.2093023255814	86	3.021978021978022	4.395604395604396
D0V3X9_HALDH(D0V3X9)	29.069767441860467	43.02325581395349	86	3.4293552812071333	5.075445816186557
H9KCE7_APIME(H9KCE7)	26.190476190476193	38.095238095238095	84	3.0344827586206895	4.413793103448276
E1B2T4_9EUCA(E1B2T4)	21.686746987951807	31.32530120481928	83	2.496532593619972	3.6061026352288486
F6X081_ORNAN(F6X081)	13.333333333333334	12.0	75	1.3888888888888888	1.25
F6X081_ORNAN(F6X081)	13.333333333333334	12.0	75	1.3888888888888888	1.25
G3AUX6_SPAPN(G3AUX6)	22.36842105263158	36.84210526315789	76	2.390998593530239	3.938115330520394
HS90A_CHICK(P11501)	28.235294117647058	40.0	85	3.292181069958848	4.663923182441701
HS90B_HUMAN(P08238)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
E7LYU5_YEASV(E7LYU5)	25.97402597402597	35.064935064935064	77	2.8328611898017	3.824362606232295
F8J4A0_9PLAT(F8J4A0)	28.735632183908045	39.08045977011494	87	3.4626038781163437	4.7091412742382275
B9WK86_CANDC(B9WK86)	22.78481012658228	36.708860759493675	79	2.528089887640449	4.073033707865169
B4DGL0_HUMAN(B4DGL0)	25.882352941176475	37.64705882352941	85	3.076923076923077	4.475524475524476
E2RCM2_CANFA(E2RCM2)	17.307692307692307	32.69230769230769	52	1.6917293233082706	3.195488721804511
E2RCM2_CANFA(E2RCM2)	17.307692307692307	32.69230769230769	52	1.6917293233082706	3.195488721804511
B0WX04_CULQU(B0WX04)	26.923076923076923	37.17948717948718	78	2.928870292887029	4.044630404463041
G3WYP7_SARHA(G3WYP7)	26.190476190476193	36.904761904761905	84	3.0386740331491713	4.281767955801105
B5AAX2_9BIVA(B5AAX2)	27.906976744186046	43.02325581395349	86	3.287671232876712	5.068493150684931
C8ZF50_YEAS8(C8ZF50)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
F1NC33_CHICK(F1NC33)	25.581395348837212	37.2093023255814	86	3.0303030303030303	4.40771349862259
B3LM73_YEAS1(B3LM73)	25.97402597402597	36.36363636363637	77	2.8328611898017	3.9660056657223794
G2HEQ8_PANTR(G2HEQ8)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
E3W5J8_CARSA(E3W5J8)	27.848101265822784	37.9746835443038	79	3.1746031746031744	4.329004329004329
G8JNI4_ERECY(G8JNI4)	22.22222222222222	35.80246913580247	81	2.524544179523142	4.067321178120617
A3LPD9_PICST(A3LPD9)	24.050632911392405	37.9746835443038	79	2.676056338028169	4.225352112676056
D0V4J5_MICFO(D0V4J5)	28.08988764044944	40.44943820224719	89	3.4059945504087197	4.904632152588556
G3U5M3_LOXAF(G3U5M3)	17.647058823529413	31.372549019607842	51	1.2893982808022924	2.292263610315186
G3U5M3_LOXAF(G3U5M3)	17.647058823529413	31.372549019607842	51	1.2893982808022924	2.292263610315186
D2HVQ7_AILME(D2HVQ7)	26.96629213483146	40.44943820224719	89	3.260869565217391	4.891304347826087
B0WX06_CULQU(B0WX06)	26.923076923076923	37.17948717948718	78	2.928870292887029	4.044630404463041
Q5I5Q4_9MUSC(Q5I5Q4)	22.5	35.0	80	2.5174825174825175	3.9160839160839163
HS90B_MOUSE(P11499)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HS90A_RAT(P82995)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
Q2WG66_PLUXY(Q2WG66)	27.848101265822784	37.9746835443038	79	3.064066852367688	4.178272980501393
E0XJL0_HELAM(E0XJL0)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
G7P407_MACFA(G7P407)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
G8HT67_9DIPT(G8HT67)	25.555555555555554	35.55555555555556	90	3.1724137931034484	4.413793103448276
A7TE49_VANPO(A7TE49)	23.456790123456788	39.50617283950617	81	2.6798307475317347	4.513399153737659
G5BNN8_HETGA(G5BNN8)	27.058823529411764	37.64705882352941	85	3.1680440771349865	4.40771349862259
A5DN19_PICGU(A5DN19)	25.0	34.72222222222222	72	2.564102564102564	3.561253561253561
A9UUM3_MONBE(A9UUM3)	24.358974358974358	38.46153846153847	78	2.6798307475317347	4.231311706629055
C3VC58_PENMO(C3VC58)	26.506024096385545	40.963855421686745	83	3.0513176144244105	4.715672676837725
G3MGI3_9ACAR(G3MGI3)	28.235294117647058	38.82352941176471	85	3.2	4.3999999999999995
HS90A_PIG(O02705)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
C4P3Q0_SPOEX(C4P3Q0)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
Q2VPJ6_HUMAN(Q2VPJ6)	27.27272727272727	39.77272727272727	88	4.09556313993174	5.972696245733788
F6SUF9_CALJA(F6SUF9)	19.642857142857142	32.142857142857146	56	1.8121911037891267	2.9654036243822075
F6SUF9_CALJA(F6SUF9)	19.642857142857142	32.142857142857146	56	1.8121911037891267	2.9654036243822075
F7A8V0_XENTR(F7A8V0)	27.710843373493976	33.734939759036145	83	3.2078103207810322	3.905160390516039
C5E287_LACTC(C5E287)	23.684210526315788	34.21052631578947	76	2.553191489361702	3.6879432624113475
F0UYY5_HELAM(F0UYY5)	29.11392405063291	39.24050632911392	79	3.203342618384401	4.3175487465181055
H9KCE8_APIME(H9KCE8)	25.806451612903224	19.35483870967742	31	1.1904761904761905	0.8928571428571428
H9KCE8_APIME(H9KCE8)	25.806451612903224	19.35483870967742	31	1.1904761904761905	0.8928571428571428
F2U1D0_SALS5(F2U1D0)	25.287356321839084	44.827586206896555	87	3.0470914127423825	5.401662049861495
C8XPC7_FENCH(C8XPC7)	26.506024096385545	40.963855421686745	83	3.0261348005502064	4.676753782668501
C7G493_COTJA(C7G493)	25.882352941176475	36.470588235294116	85	3.0344827586206895	4.275862068965517
B7QI01_IXOSC(B7QI01)	29.069767441860467	40.69767441860465	86	3.415300546448088	4.781420765027322
B0X762_CULQU(B0X762)	26.923076923076923	35.8974358974359	78	2.9166666666666665	3.888888888888889
F2QN77_PICP7(F2QN77)	24.358974358974358	38.46153846153847	78	2.6874115983026874	4.243281471004243
C5HDF5_PORTR(C5HDF5)	28.235294117647058	41.17647058823529	85	3.32409972299169	4.847645429362881
C7G492_COTJA(C7G492)	28.235294117647058	40.0	85	3.292181069958848	4.663923182441701
A9CPG3_ALLMI(A9CPG3)	24.719101123595504	37.07865168539326	89	3.0136986301369864	4.52054794520548
Q7YZJ4_MONBE(Q7YZJ4)	24.358974358974358	38.46153846153847	78	2.722063037249284	4.297994269340974
H2QT34_PANTR(H2QT34)	25.882352941176475	37.64705882352941	85	3.0344827586206895	4.413793103448276
HS90A_MOUSE(P07901)	26.96629213483146	40.44943820224719	89	3.2697547683923704	4.904632152588556
